Neighborhood,N,Cafes,Restaurants,Bars,Nightclubs
Bushwick North,3,370.3288312,198.4796283,372.2740273,370.3288312
Bushwick South,3,457.444361,456.6454854,546.3731335,457.444361
Cambria Heights,3,1000,1000,1000,1000
Canarsie,3,1000,1000,1000,1000
Carroll Gardens-Columbia Street-Red Hook,3,598.5227794,453.3469691,611.6382473,598.5227794
Central Harlem North-Polo Grounds,3,780.909066,582.9393418,1000,780.909066
Central Harlem South,3,603.6722793,347.8257414,993.5215582,603.6722793
Charleston-Richmond Valley-Tottenville,3,1000,1000,1000,1000
Chinatown,3,238.4320305,152.2318116,300.7964696,238.4320305
Claremont-Bathgate,3,1000,874.1498773,1000,1000
Clinton,3,486.7502117,305.0596777,448.0566408,486.7502117
Clinton Hill,3,514.9738256,388.1112883,574.0036959,514.9738256
Co-op City,3,1000,951.8916746,1000,1000
College Point,3,1000,997.8354999,1000,1000
Corona,3,994.8342432,797.8248693,1000,994.8342432
Crotona Park East,3,1000,982.6683437,1000,1000
Crown Heights North,3,768.0614237,604.9394618,761.7072732,768.0614237
Crown Heights South,3,714.4445212,704.0423609,785.6507584,714.4445212
Cypress Hills-City Line,3,1000,800.7416408,1000,1000
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3,399.6889475,287.9007172,556.8112527,399.6889475
Douglas Manor-Douglaston-Little Neck,3,1000,1000,1000,1000
Dyker Heights,3,972.7684055,893.6056534,1000,972.7684055
East Concourse-Concourse Village,3,1000,978.185079,1000,1000
East Elmhurst,3,1000,719.9191739,1000,1000
East Flatbush-Farragut,3,1000,997.4662923,1000,1000
East Flushing,3,1000,786.4312653,1000,1000
East Harlem North,3,791.782704,418.2134903,996.3930922,791.782704
East Harlem South,3,593.9728999,302.6371718,786.6280404,593.9728999
East New York,3,1000,850.7239534,1000,1000
East New York (Pennsylvania Ave),3,1000,997.690528,1000,1000
East Tremont,3,1000,876.5109246,1000,1000
East Village,3,181.4666114,95.14094403,132.6957626,181.4666114
East Williamsburg,3,699.197816,534.9057319,595.719941,699.197816
Eastchester-Edenwald-Baychester,3,1000,885.7905887,1000,1000
Elmhurst,3,723.3391367,543.4407909,967.5831302,723.3391367
Elmhurst-Maspeth,3,863.8606412,647.1585892,980.1091408,863.8606412
Erasmus,3,1000,849.7099194,1000,1000
Far Rockaway-Bayswater,3,1000,998.4522095,1000,1000
Flatbush,3,912.6570518,774.1999484,938.6662968,912.6570518
Flatlands,3,1000,906.0684428,1000,1000
Flushing,3,806.1476764,425.5225444,999.9254032,806.1476764
Fordham South,3,1000,926.9917654,1000,1000
Forest Hills,3,967.8875533,675.3632095,1000,967.8875533
Fort Greene,3,544.1105502,304.785028,574.5873833,544.1105502
Fresh Meadows-Utopia,3,999.8735573,677.0670738,1000,999.8735573
Ft. Totten-Bay Terrace-Clearview,3,1000,998.0032999,1000,1000
Georgetown-Marine Park-Bergen Beach-Mill Basin,3,1000,964.0098088,1000,1000
Glen Oaks-Floral Park-New Hyde Park,3,1000,873.9306332,1000,1000
Glendale,3,963.0644386,608.7315308,913.5836237,963.0644386
Gramercy,3,296.5877693,175.0249195,316.6179447,296.5877693
Grasmere-Arrochar-Ft. Wadsworth,3,1000,1000,1000,1000
Gravesend,3,999.2747691,933.4507126,1000,999.2747691
Great Kills,3,1000,827.331289,1000,1000
Greenpoint,3,491.4436896,417.0960208,518.5711475,491.4436896
Grymes Hill-Clifton-Fox Hills,3,1000,952.3157179,1000,1000
Hamilton Heights,3,644.4787686,508.2943769,1000,644.4787686
Hammels-Arverne-Edgemere,3,1000,897.7404755,1000,1000
Highbridge,3,1000,984.0840366,1000,1000
Hollis,3,1000,930.5370267,1000,1000
Homecrest,3,989.3871681,799.1722833,1000,989.3871681
Hudson Yards-Chelsea-Flatiron-Union Square,3,352.392659,251.9171897,444.3542156,352.392659
Hunters Point-Sunnyside-West Maspeth,3,696.5945409,557.0050762,778.3708843,696.5945409
Hunts Point,3,1000,999.1507778,1000,1000
Jackson Heights,3,889.5061093,595.7377743,995.3270479,889.5061093
Jamaica,3,963.0095693,671.0874446,915.4688704,963.0095693
Jamaica Estates-Holliswood,3,1000,713.5553525,858.6664352,1000
Kensington-Ocean Parkway,3,820.2580948,446.6856928,727.3181438,820.2580948
Kew Gardens,3,854.1060408,662.2293863,1000,854.1060408
Kew Gardens Hills,3,1000,738.0992354,1000,1000
Kingsbridge Heights,3,1000,989.7467255,1000,1000
Laurelton,3,1000,744.2286864,1000,1000
Lenox Hill-Roosevelt Island,3,607.2251238,469.50876,735.7347089,607.2251238
Lincoln Square,3,430.9484572,376.0192418,598.828264,430.9484572
Lindenwood-Howard Beach,3,1000,968.039574,1000,1000
Longwood,3,1000,999.8012699,1000,1000
Lower East Side,3,641.3618756,461.0238441,620.6466828,641.3618756
Madison,3,978.2751097,779.0887449,1000,978.2751097
Manhattanville,3,758.2641727,465.2657165,996.2768895,758.2641727
Marble Hill-Inwood,3,915.6657617,564.6374156,871.6575771,915.6657617
Mariner's Harbor-Arlington-Port Ivory-Graniteville,3,1000,999.4749584,1000,1000
Maspeth,3,978.8098773,774.6296705,967.2361264,978.8098773
Melrose South-Mott Haven North,3,1000,905.1241406,1000,1000
Middle Village,3,989.5835702,828.0750511,994.0203313,989.5835702
Midtown-Midtown South,3,203.7784016,148.7796996,363.0567375,203.7784016
Midwood,3,999.895328,953.9632857,1000,999.895328
Morningside Heights,3,438.912998,328.4565531,966.3932868,438.912998
Morrisania-Melrose,3,1000,938.6747997,1000,1000
Mott Haven-Port Morris,3,1000,879.4758737,1000,1000
Mount Hope,3,1000,926.4457273,1000,1000
Murray Hill,3,998.0160734,760.2638521,1000,998.0160734
Murray Hill-Kips Bay,3,386.5962259,323.1556931,673.4372049,386.5962259
New Brighton-Silver Lake,3,1000,995.9341846,1000,1000
New Dorp-Midland Beach,3,1000,865.5106137,1000,1000
New Springville-Bloomfield-Travis,3,1000,997.1582871,1000,1000
North Corona,3,1000,390.0156652,1000,1000
North Riverdale-Fieldston-Riverdale,3,999.9540784,942.4915586,1000,999.9540784
North Side-South Side,3,412.1421617,229.3487273,331.5811042,412.1421617
Norwood,3,1000,1000,1000,1000
Oakland Gardens,3,999.9055633,996.8934354,1000,999.9055633
Oakwood-Oakwood Beach,3,1000,997.0187976,1000,1000
Ocean Hill,3,930.2469218,918.4076529,994.7462794,930.2469218
Ocean Parkway South,3,1000,997.7431791,1000,1000
Old Astoria,3,710.8086714,498.0872037,871.7316709,710.8086714
Old Town-Dongan Hills-South Beach,3,1000,1000,1000,1000
Ozone Park,3,1000,768.8538776,1000,1000
Park Slope-Gowanus,3,356.3082487,300.5107845,505.8244496,356.3082487
Parkchester,3,935.039681,731.1336739,1000,935.039681
Pelham Bay-Country Club-City Island,3,1000,805.8721457,918.6917867,1000
Pelham Parkway,3,1000,841.8994218,1000,1000
Pomonok-Flushing Heights-Hillcrest,3,1000,849.2228411,1000,1000
Port Richmond,3,1000,1000,1000,1000
Prospect Heights,3,283.6111655,219.4436225,341.3753023,283.6111655
Prospect Lefferts Gardens-Wingate,3,972.9638352,780.0170578,980.6542942,972.9638352
Queens Village,3,1000,764.5131457,1000,1000
Queensboro Hill,3,1000,875.5376385,1000,1000
Queensbridge-Ravenswood-Long Island City,3,806.7739003,583.8078454,800.778005,806.7739003
Rego Park,3,768.8353443,561.3985591,1000,768.8353443
Richmond Hill,3,999.2415042,915.4746193,1000,999.2415042
Ridgewood,3,631.2563125,447.3209533,647.1913624,631.2563125
Rikers Island,3,1000,1000,1000,1000
Rosedale,3,1000,679.9960055,1000,1000
Rossville-Woodrow,3,1000,877.7937577,1000,1000
Rugby-Remsen Village,3,1000,1000,1000,1000
Schuylerville-Throgs Neck-Edgewater Park,3,1000,986.9474919,1000,1000
Seagate-Coney Island,3,985.4662826,840.1210617,1000,985.4662826
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3,994.7812227,798.0239087,973.8419377,994.7812227
SoHo-TriBeCa-Civic Center-Little Italy,3,301.5072841,207.7267769,363.8591447,301.5072841
Soundview-Bruckner,3,981.1110582,480.9587972,1000,981.1110582
Soundview-Castle Hill-Clason Point-Harding Park,3,1000,988.8986435,1000,1000
South Jamaica,3,1000,922.2244538,1000,1000
South Ozone Park,3,1000,921.6213029,1000,1000
Springfield Gardens North,3,1000,736.1208663,1000,1000
Springfield Gardens South-Brookville,3,1000,977.2311667,1000,1000
Spuyten Duyvil-Kingsbridge,3,997.0283736,905.8867234,1000,997.0283736
St. Albans,3,1000,894.0633763,1000,1000
Stapleton-Rosebank,3,997.5598228,696.5333221,994.5760151,997.5598228
Starrett City,3,1000,1000,1000,1000
Steinway,3,775.2522897,679.741806,755.6343193,775.2522897
Stuyvesant Heights,3,511.2688609,444.0540706,630.4519374,511.2688609
Stuyvesant Town-Cooper Village,3,548.5624429,508.7323352,497.3382087,548.5624429
Sunset Park East,3,648.916193,500.3191466,997.7687726,648.916193
Sunset Park West,3,805.6106912,759.5452697,866.8393396,805.6106912
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,3,1000,888.9983172,1000,1000
Turtle Bay-East Midtown,3,315.8072407,247.7660794,465.2678422,315.8072407
University Heights-Morris Heights,3,1000,937.6381824,1000,1000
Upper East Side-Carnegie Hill,3,287.0256615,234.3953268,676.5410609,287.0256615
Upper West Side,3,438.0596836,332.4766898,821.9939614,438.0596836
Van Cortlandt Village,3,1000,977.6639208,1000,1000
Van Nest-Morris Park-Westchester Square,3,1000,942.8298758,1000,1000
Washington Heights North,3,999.9849795,532.7587724,827.730025,999.9849795
Washington Heights South,3,783.8050134,537.6952374,1000,783.8050134
West Brighton,3,945.3284832,746.3312574,1000,945.3284832
West Concourse,3,1000,959.3915986,1000,1000
West Farms-Bronx River,3,999.6431899,621.9253859,1000,999.6431899
West New Brighton-New Brighton-St. George,3,947.3373863,817.0387764,1000,947.3373863
West Village,3,220.5918905,151.4129502,246.4402752,220.5918905
Westchester-Unionport,3,979.7284846,696.2730643,1000,979.7284846
Westerleigh,3,1000,1000,1000,1000
Whitestone,3,1000,898.8576533,1000,1000
Williamsbridge-Olinville,3,1000,991.7436868,997.0860841,1000
Williamsburg,3,874.1181175,671.577005,810.868301,874.1181175
Windsor Terrace,3,703.0479726,395.7987213,952.0911534,703.0479726
Woodhaven,3,1000,726.14215,1000,1000
Woodlawn-Wakefield,3,1000,882.254097,889.501015,1000
Woodside,3,836.5680628,438.1861093,757.8915642,836.5680628
Yorkville,3,451.4545724,281.2551304,524.3129794,451.4545724
park-cemetery-etc-Bronx,3,1000,958.5693303,992.5361962,1000
park-cemetery-etc-Brooklyn,3,905.1156356,802.3412753,948.6866651,905.1156356
park-cemetery-etc-Manhattan,3,713.119367,669.5202678,845.1529328,713.119367
park-cemetery-etc-Queens,3,994.907013,973.8277651,991.6020552,994.907013
park-cemetery-etc-Staten Island,3,1000,1000,1000,1000
Airport,4,970.8358015,923.6211236,999.8138382,970.8358015
Allerton-Pelham Gardens,4,1000,929.1810626,1000,1000
Annadale-Huguenot-Prince's Bay-Eltingville,4,1000,841.8066765,1000,1000
Arden Heights,4,1000,999.2814088,1000,1000
Astoria,4,613.4889656,351.6104286,534.8065659,613.4889656
Auburndale,4,1000,963.4782807,1000,1000
Baisley Park,4,1000,995.9342572,1000,1000
Bath Beach,4,994.6355708,977.4582464,1000,994.6355708
Battery Park City-Lower Manhattan,4,358.0163034,360.303714,641.8241412,358.0163034
Bay Ridge,4,999.9747623,740.1491853,999.9934692,999.9747623
Bayside-Bayside Hills,4,929.6980735,759.1177809,1000,929.6980735
Bedford,4,685.2013926,609.4507896,801.4281685,685.2013926
Bedford Park-Fordham North,4,1000,996.3928444,1000,1000
Bellerose,4,1000,922.0741622,1000,1000
Belmont,4,1000,613.0854932,1000,1000
Bensonhurst East,4,951.4755781,831.6954632,1000,951.4755781
Bensonhurst West,4,953.7004924,740.3944733,1000,953.7004924
Borough Park,4,979.8927425,823.4115301,1000,979.8927425
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,1000,961.1672916,1000,1000
Briarwood-Jamaica Hills,4,1000,782.860731,1000,1000
Brighton Beach,4,701.0344353,706.9772672,1000,701.0344353
Bronxdale,4,1000,606.4112594,1000,1000
Brooklyn Heights-Cobble Hill,4,453.1479214,364.3615209,633.5032714,453.1479214
Brownsville,4,1000,1000,1000,1000
Bushwick North,4,422.6746944,229.7340216,433.3024021,422.6746944
Bushwick South,4,518.3640308,510.1945787,601.1607428,518.3640308
Cambria Heights,4,1000,1000,1000,1000
Canarsie,4,1000,1000,1000,1000
Carroll Gardens-Columbia Street-Red Hook,4,683.0727167,487.5694674,680.275879,683.0727167
Central Harlem North-Polo Grounds,4,852.778642,652.5229433,1000,852.778642
Central Harlem South,4,698.9861007,397.5427425,1000,698.9861007
Charleston-Richmond Valley-Tottenville,4,1000,1000,1000,1000
Chinatown,4,277.0488482,173.9373529,339.8847274,277.0488482
Claremont-Bathgate,4,1000,881.7794303,1000,1000
Clinton,4,544.7198556,332.0995146,487.1509598,544.7198556
Clinton Hill,4,584.1296042,426.0980036,651.9345342,584.1296042
Co-op City,4,1000,968.5504353,1000,1000
College Point,4,1000,999.8597967,1000,1000
Corona,4,996.3401047,855.1307781,1000,996.3401047
Crotona Park East,4,1000,993.210132,1000,1000
Crown Heights North,4,814.5894698,658.9043343,800.2241615,814.5894698
Crown Heights South,4,748.5176835,726.390269,832.0260768,748.5176835
Cypress Hills-City Line,4,1000,861.371985,1000,1000
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4,457.6512248,330.8215107,634.6579261,457.6512248
Douglas Manor-Douglaston-Little Neck,4,1000,1000,1000,1000
Dyker Heights,4,999.0012698,934.1688538,1000,999.0012698
East Concourse-Concourse Village,4,1000,995.5886405,1000,1000
East Elmhurst,4,1000,750.0374866,1000,1000
East Flatbush-Farragut,4,1000,1000,1000,1000
East Flushing,4,1000,853.0178868,1000,1000
East Harlem North,4,894.641875,472.4915918,1000,894.641875
East Harlem South,4,660.899861,338.4072601,863.8641368,660.899861
East New York,4,1000,943.5886044,1000,1000
East New York (Pennsylvania Ave),4,1000,1000,1000,1000
East Tremont,4,1000,880.9019144,1000,1000
East Village,4,219.2904191,109.4967206,157.6219159,219.2904191
East Williamsburg,4,756.6239855,582.5176809,660.2253034,756.6239855
Eastchester-Edenwald-Baychester,4,1000,903.8767148,1000,1000
Elmhurst,4,899.7092417,605.0293083,992.1190159,899.7092417
Elmhurst-Maspeth,4,983.588844,738.0202236,996.6193494,983.588844
Erasmus,4,1000,928.2316403,1000,1000
Far Rockaway-Bayswater,4,1000,1000,1000,1000
Flatbush,4,954.0626089,803.5165593,979.992271,954.0626089
Flatlands,4,1000,926.7551293,1000,1000
Flushing,4,868.6509139,458.0251731,1000,868.6509139
Fordham South,4,1000,946.5083281,1000,1000
Forest Hills,4,978.1022669,729.6771563,1000,978.1022669
Fort Greene,4,593.3022336,346.7310078,652.8473157,593.3022336
Fresh Meadows-Utopia,4,1000,766.6045055,1000,1000
Ft. Totten-Bay Terrace-Clearview,4,1000,999.9780373,1000,1000
Georgetown-Marine Park-Bergen Beach-Mill Basin,4,1000,974.4177153,1000,1000
Glen Oaks-Floral Park-New Hyde Park,4,1000,889.8035764,1000,1000
Glendale,4,966.9976093,667.6702233,944.8605333,966.9976093
Gramercy,4,325.6806232,197.5433482,362.6692599,325.6806232
Grasmere-Arrochar-Ft. Wadsworth,4,1000,1000,1000,1000
Gravesend,4,999.2747691,974.0617225,1000,999.2747691
Great Kills,4,1000,843.9610563,1000,1000
Greenpoint,4,572.7403214,454.2917836,564.6880014,572.7403214
Grymes Hill-Clifton-Fox Hills,4,1000,976.7886453,1000,1000
Hamilton Heights,4,720.7156661,595.5548877,1000,720.7156661
Hammels-Arverne-Edgemere,4,1000,918.2084384,1000,1000
Highbridge,4,1000,1000,1000,1000
Hollis,4,1000,969.1479082,1000,1000
Homecrest,4,999.6664335,897.4558731,1000,999.6664335
Hudson Yards-Chelsea-Flatiron-Union Square,4,410.3291975,284.1844451,504.1897569,410.3291975
Hunters Point-Sunnyside-West Maspeth,4,768.4114249,590.3056142,840.9897578,768.4114249
Hunts Point,4,1000,1000,1000,1000
Jackson Heights,4,907.9600403,640.0923479,998.6963654,907.9600403
Jamaica,4,1000,749.7075656,979.5492882,1000
Jamaica Estates-Holliswood,4,1000,820.8691011,937.7798768,1000
Kensington-Ocean Parkway,4,909.4833997,481.248033,875.4532134,909.4833997
Kew Gardens,4,984.9328901,719.7896934,1000,984.9328901
Kew Gardens Hills,4,1000,881.2989364,1000,1000
Kingsbridge Heights,4,1000,999.4985857,1000,1000
Laurelton,4,1000,808.7414735,1000,1000
Lenox Hill-Roosevelt Island,4,640.721723,506.6899444,774.6961922,640.721723
Lincoln Square,4,469.9998944,395.7195026,652.0408588,469.9998944
Lindenwood-Howard Beach,4,1000,985.9177161,1000,1000
Longwood,4,1000,1000,1000,1000
Lower East Side,4,680.9624289,553.8813326,664.0303911,680.9624289
Madison,4,999.3796274,795.6721174,1000,999.3796274
Manhattanville,4,813.2395406,522.2904389,999.7257528,813.2395406
Marble Hill-Inwood,4,999.9345801,585.1659238,898.8449201,999.9345801
Mariner's Harbor-Arlington-Port Ivory-Graniteville,4,1000,1000,1000,1000
Maspeth,4,992.2498132,848.1246939,996.2440852,992.2498132
Melrose South-Mott Haven North,4,1000,994.2462022,1000,1000
Middle Village,4,992.2056186,864.0029426,998.1274892,992.2056186
Midtown-Midtown South,4,242.1554353,167.3571604,392.8323474,242.1554353
Midwood,4,1000,986.3181055,1000,1000
Morningside Heights,4,493.2988628,377.6537843,999.9031072,493.2988628
Morrisania-Melrose,4,1000,999.8179609,1000,1000
Mott Haven-Port Morris,4,1000,948.6009457,1000,1000
Mount Hope,4,1000,997.3284773,1000,1000
Murray Hill,4,998.904281,821.2286782,1000,998.904281
Murray Hill-Kips Bay,4,445.1665132,355.5167972,739.1523892,445.1665132
New Brighton-Silver Lake,4,1000,999.2420432,1000,1000
New Dorp-Midland Beach,4,1000,954.9698858,1000,1000
New Springville-Bloomfield-Travis,4,1000,999.4873813,1000,1000
North Corona,4,1000,465.346075,1000,1000
North Riverdale-Fieldston-Riverdale,4,1000,1000,1000,1000
North Side-South Side,4,464.6267078,265.975522,376.8806102,464.6267078
Norwood,4,1000,1000,1000,1000
Oakland Gardens,4,1000,998.0797681,1000,1000
Oakwood-Oakwood Beach,4,1000,1000,1000,1000
Ocean Hill,4,958.5115457,944.1323164,1000,958.5115457
Ocean Parkway South,4,1000,999.974905,1000,1000
Old Astoria,4,779.7643214,577.0839653,905.3434442,779.7643214
Old Town-Dongan Hills-South Beach,4,1000,1000,1000,1000
Ozone Park,4,1000,919.8330794,1000,1000
Park Slope-Gowanus,4,392.7163855,330.2411807,578.2605097,392.7163855
Parkchester,4,997.7155901,777.5787585,1000,997.7155901
Pelham Bay-Country Club-City Island,4,1000,861.112089,1000,1000
Pelham Parkway,4,1000,958.4362556,1000,1000
Pomonok-Flushing Heights-Hillcrest,4,1000,945.3214466,1000,1000
Port Richmond,4,1000,1000,1000,1000
Prospect Heights,4,309.7524256,239.8232343,411.2996998,309.7524256
Prospect Lefferts Gardens-Wingate,4,989.2457147,818.3326975,996.0739308,989.2457147
Queens Village,4,1000,873.4596305,1000,1000
Queensboro Hill,4,1000,913.1589416,1000,1000
Queensbridge-Ravenswood-Long Island City,4,856.1641993,655.224527,843.9243837,856.1641993
Rego Park,4,810.2644125,621.5311185,1000,810.2644125
Richmond Hill,4,999.7450066,939.6287551,1000,999.7450066
Ridgewood,4,691.1145802,473.6848791,729.0306215,691.1145802
Rikers Island,4,1000,1000,1000,1000
Rosedale,4,1000,774.3469386,1000,1000
Rossville-Woodrow,4,1000,887.2233759,1000,1000
Rugby-Remsen Village,4,1000,1000,1000,1000
Schuylerville-Throgs Neck-Edgewater Park,4,1000,998.9897736,1000,1000
Seagate-Coney Island,4,989.3463519,883.5084305,1000,989.3463519
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,4,998.1681406,832.5064445,1000,998.1681406
SoHo-TriBeCa-Civic Center-Little Italy,4,343.0937359,230.7707262,409.390476,343.0937359
Soundview-Bruckner,4,997.9301217,569.1084248,1000,997.9301217
Soundview-Castle Hill-Clason Point-Harding Park,4,1000,995.8135876,1000,1000
South Jamaica,4,1000,973.6245618,1000,1000
South Ozone Park,4,1000,968.9841289,1000,1000
Springfield Gardens North,4,1000,925.9843537,1000,1000
Springfield Gardens South-Brookville,4,1000,990.3483702,1000,1000
Spuyten Duyvil-Kingsbridge,4,1000,1000,1000,1000
St. Albans,4,1000,935.2975617,1000,1000
Stapleton-Rosebank,4,999.9579987,794.8185249,1000,999.9579987
Starrett City,4,1000,1000,1000,1000
Steinway,4,825.5037902,708.2143557,815.9650179,825.5037902
Stuyvesant Heights,4,587.515964,533.8191953,710.5628717,587.515964
Stuyvesant Town-Cooper Village,4,600.6491498,531.1741069,547.9510876,600.6491498
Sunset Park East,4,787.9267332,572.6900314,999.8201119,787.9267332
Sunset Park West,4,854.8052081,796.3444091,945.3478173,854.8052081
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,4,1000,925.6651653,1000,1000
Turtle Bay-East Midtown,4,365.5405701,274.7763879,547.6904409,365.5405701
University Heights-Morris Heights,4,1000,1000,1000,1000
Upper East Side-Carnegie Hill,4,335.5848875,274.0948008,741.9498049,335.5848875
Upper West Side,4,488.3682202,352.3693111,867.8087103,488.3682202
Van Cortlandt Village,4,1000,1000,1000,1000
Van Nest-Morris Park-Westchester Square,4,1000,984.8267444,1000,1000
Washington Heights North,4,1000,570.9714835,851.0045455,1000
Washington Heights South,4,931.4288324,659.9146607,1000,931.4288324
West Brighton,4,964.140299,790.7355576,1000,964.140299
West Concourse,4,1000,999.8144096,1000,1000
West Farms-Bronx River,4,1000,670.5809986,1000,1000
West New Brighton-New Brighton-St. George,4,1000,912.3226673,1000,1000
West Village,4,250.022761,173.1365148,282.8117491,250.022761
Westchester-Unionport,4,988.3937499,800.8988555,1000,988.3937499
Westerleigh,4,1000,1000,1000,1000
Whitestone,4,1000,945.4005032,1000,1000
Williamsbridge-Olinville,4,1000,991.7436868,999.9288321,1000
Williamsburg,4,921.8238282,720.0487816,844.2032372,921.8238282
Windsor Terrace,4,788.5064866,500.9156204,984.004787,788.5064866
Woodhaven,4,1000,747.6175584,1000,1000
Woodlawn-Wakefield,4,1000,893.9938116,921.1685717,1000
Woodside,4,898.2663703,477.6087977,783.739206,898.2663703
Yorkville,4,523.842484,301.0429962,588.5150021,523.842484
park-cemetery-etc-Bronx,4,1000,983.4408144,996.618486,1000
park-cemetery-etc-Brooklyn,4,932.164294,831.4575073,976.183414,932.164294
park-cemetery-etc-Manhattan,4,751.0477954,701.4758554,885.5061883,751.0477954
park-cemetery-etc-Queens,4,997.7981849,983.5922597,994.1102944,997.7981849
park-cemetery-etc-Staten Island,4,1000,1000,1000,1000
Airport,5,984.1000508,946.0846586,1000,984.1000508
Allerton-Pelham Gardens,5,1000,949.9767814,1000,1000
Annadale-Huguenot-Prince's Bay-Eltingville,5,1000,860.980636,1000,1000
Arden Heights,5,1000,999.5901055,1000,1000
Astoria,5,654.1468856,394.0315725,588.1760756,654.1468856
Auburndale,5,1000,988.898271,1000,1000
Baisley Park,5,1000,999.7291991,1000,1000
Bath Beach,5,1000,985.5178517,1000,1000
Battery Park City-Lower Manhattan,5,402.4352351,389.6231266,699.2117996,402.4352351
Bay Ridge,5,1000,756.5847181,1000,1000
Bayside-Bayside Hills,5,1000,787.8799666,1000,1000
Bedford,5,742.4021938,672.5400064,855.2569477,742.4021938
Bedford Park-Fordham North,5,1000,996.8952108,1000,1000
Bellerose,5,1000,951.7380165,1000,1000
Belmont,5,1000,724.1321031,1000,1000
Bensonhurst East,5,999.9269236,852.4251623,1000,999.9269236
Bensonhurst West,5,995.6218287,777.6915719,1000,995.6218287
Borough Park,5,994.6176073,859.4241494,1000,994.6176073
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5,1000,984.6412079,1000,1000
Briarwood-Jamaica Hills,5,1000,857.2703827,1000,1000
Brighton Beach,5,738.5020926,727.8126729,1000,738.5020926
Bronxdale,5,1000,644.861016,1000,1000
Brooklyn Heights-Cobble Hill,5,492.2880494,389.4531925,778.1213633,492.2880494
Brownsville,5,1000,1000,1000,1000
Bushwick North,5,492.2410035,261.3964029,470.6427699,492.2410035
Bushwick South,5,578.5921047,565.3084503,642.8568702,578.5921047
Cambria Heights,5,1000,1000,1000,1000
Canarsie,5,1000,1000,1000,1000
Carroll Gardens-Columbia Street-Red Hook,5,739.1816695,527.0164942,815.4857664,739.1816695
Central Harlem North-Polo Grounds,5,924.8410304,693.2783263,1000,924.8410304
Central Harlem South,5,781.8275239,441.6514038,1000,781.8275239
Charleston-Richmond Valley-Tottenville,5,1000,1000,1000,1000
Chinatown,5,304.1155681,188.7304482,380.9214247,304.1155681
Claremont-Bathgate,5,1000,889.3339485,1000,1000
Clinton,5,610.3376206,375.7397383,542.9933241,610.3376206
Clinton Hill,5,643.1543295,471.7900707,713.4506483,643.1543295
Co-op City,5,1000,968.6262517,1000,1000
College Point,5,1000,1000,1000,1000
Corona,5,997.2891337,881.5312285,1000,997.2891337
Crotona Park East,5,1000,994.1118464,1000,1000
Crown Heights North,5,842.9638011,687.6852604,839.7529994,842.9638011
Crown Heights South,5,781.0655052,741.1066566,868.2279724,781.0655052
Cypress Hills-City Line,5,1000,901.1858851,1000,1000
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5,498.9785871,359.7200374,701.8683122,498.9785871
Douglas Manor-Douglaston-Little Neck,5,1000,1000,1000,1000
Dyker Heights,5,1000,950.0203339,1000,1000
East Concourse-Concourse Village,5,1000,999.3598415,1000,1000
East Elmhurst,5,1000,768.0732868,1000,1000
East Flatbush-Farragut,5,1000,1000,1000,1000
East Flushing,5,1000,917.1201497,1000,1000
East Harlem North,5,951.365968,515.3668465,1000,951.365968
East Harlem South,5,714.3020414,380.1575709,915.0977064,714.3020414
East New York,5,1000,965.5424219,1000,1000
East New York (Pennsylvania Ave),5,1000,1000,1000,1000
East Tremont,5,1000,886.3774897,1000,1000
East Village,5,247.7668743,129.7983295,186.7093684,247.7668743
East Williamsburg,5,801.2942643,623.1038239,697.4337086,801.2942643
Eastchester-Edenwald-Baychester,5,1000,904.4246222,1000,1000
Elmhurst,5,938.8380326,630.8274075,1000,938.8380326
Elmhurst-Maspeth,5,986.6189744,756.1607398,999.1017437,986.6189744
Erasmus,5,1000,972.7732898,1000,1000
Far Rockaway-Bayswater,5,1000,1000,1000,1000
Flatbush,5,982.2944538,830.8271202,986.9498943,982.2944538
Flatlands,5,1000,934.2393217,1000,1000
Flushing,5,892.3564859,488.4063945,1000,892.3564859
Fordham South,5,1000,957.4409465,1000,1000
Forest Hills,5,988.2174306,756.9200904,1000,988.2174306
Fort Greene,5,658.8739705,387.9819269,719.7880523,658.8739705
Fresh Meadows-Utopia,5,1000,902.1634867,1000,1000
Ft. Totten-Bay Terrace-Clearview,5,1000,1000,1000,1000
Georgetown-Marine Park-Bergen Beach-Mill Basin,5,1000,980.5677079,1000,1000
Glen Oaks-Floral Park-New Hyde Park,5,1000,915.0544995,1000,1000
Glendale,5,981.6632615,716.228239,991.0891629,981.6632615
Gramercy,5,367.1430105,219.7381471,402.7276315,367.1430105
Grasmere-Arrochar-Ft. Wadsworth,5,1000,1000,1000,1000
Gravesend,5,1000,991.9552469,1000,1000
Great Kills,5,1000,854.4384549,1000,1000
Greenpoint,5,622.5691298,491.7223958,612.394752,622.5691298
Grymes Hill-Clifton-Fox Hills,5,1000,995.4790585,1000,1000
